student_id,jamb_attempts_count,jamb_year_most_recent,jamb_score_most_recent,school_type,school_location,gender,age_when_took_jamb,study_hours_per_day,study_resources,attended_extra_tutorials,consistent_study_schedule,study_plan_adherence,guardian_education_level,access_to_computer_smartphone,household_dependents,internet_reliability,access_to_textbooks,electricity_consistency,quality_of_instruction,familiar_with_cbt,arrived_early_exam_center,biggest_challenge,advice_to_future_candidate
1,4,2025,219,Private,Semi-Urban,Male,18-20 years,3-4 hours,"Past questions, Online tutorials/videos",No,Sometimes,Always,Tertiary,Yes,,Very Reliable,Most of them,Daily,Excellent,Yes,"Yes, significantly early",Sometimes poor network  connection,Use every opportunity of your time to study
2,1,2022,204,Private,Semi-Urban,Female,21-23 years,1-2 hours,Past questions,No,Sometimes,Sometimes,Secondary,Yes,1-2 dependents,Moderately Reliable,Most of them,Daily,Good,Yes,"Yes, a little early",Having to combine work and study,A more precise syllabus 
3,2,2022,203,Public/Government/Government,Semi-Urban,Female,18-20 years,3-4 hours,"Past questions, Textbooks",No,No,Always,Secondary ,No,3-5 dependents,Slightly Reliable,Very few,A few days a week,Average,No,"Yes, significantly early",Being consistent in the reading,Read and dont depend on past questions only 
4,1,2022,200,Private,Urban,Female,18-20 years,1-2 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,Sometimes,Often,Tertiary,Yes,1-2 dependents,Very Reliable,"Yes, all",Most days,Excellent,Yes,"Yes, a little early",Time,Be well prepared pray 
5,1,2022,283,Public/Government/Government,Urban,Male,15-17 years,4+ hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,Yes,Often,Secondary ,Yes,6-8 dependents,Moderately Reliable,Most of them,Most days,Excellent,Yes,"Yes, a little early",Literature ,"Work Hard, Be smart "
6,1,2021,295,Public/Government/Government,Urban,Female,18-20 years,3-4 hours,"Past questions, Online tutorials/videos, Physical tutorials/coaching centers, Private lessons",Yes,Yes,Always,Secondary ,No,3-5 dependents,Slightly Reliable,Some of them,Rarely,Average,No,"Yes, a little early",Getting enough materials,Do your very best
7,2,2022,249,Public/Government/Government,Urban,Male,18-20 years,3-4 hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,Sometimes,Often,Secondary ,No,6-8 dependents,Slightly Reliable,Most of them,A few days a week,Good,No,"Yes, a little early",Meeting up with schedule ,Study well. 
8,1,2020,223,Private,Urban,Female,15-17 years,3-4 hours,Past questions,Yes,Yes,Always,Primary,No,9+ dependents,Slightly Reliable,Some of them,Rarely,Good,Yes,"Yes, a little early",Electric power supply,Upgrading of system 
9,1,2021,187,Public/Government/Government,Rural,Male,21-23 years,3-4 hours,"Past questions, Textbooks, Physical tutorials/coaching centers, Study groups",Yes,Yes,Often,Secondary ,Yes,3-5 dependents,Slightly Reliable,Most of them,Daily,Excellent,Yes,"Yes, a little early",Have read for a long time,Study hard before you plan to write Exams 
10,1,2020,220,Private,Urban,Female,21-23 years,4+ hours,"Past questions, Textbooks, Online tutorials/videos",No,Yes,Always,Tertiary,Yes,3-5 dependents,Very Reliable,Most of them,Rarely,Average,Yes,"Yes, significantly early",Access to electricity ,Study consistently long before your exam.
11,1,2020,230,Public/Government/Government,Rural,Male,18-20 years,1-2 hours,Textbooks,No,Yes,Often,Secondary ,No,6-8 dependents,Moderately Reliable,Some of them,A few days a week,Good,Yes,"Yes, significantly early",Time and place to study,To study and prepare well before taking jamb
12,2,2023,215,Private,Urban,Female,18-20 years,3-4 hours,"Past questions, Physical tutorials/coaching centers",Yes,Yes,Often,Secondary ,No,3-5 dependents,Moderately Reliable,Most of them,A few days a week,Good,Yes,"Yes, a little early", Venue,Study hard and be early
13,1,2023,190,Private,Urban,Female,21-23 years,1-2 hours,"Past questions, Textbooks, Physical tutorials/coaching centers",Yes,Sometimes,Often,Tertiary,Yes,3-5 dependents,Very Reliable,No,Most days,Good,Yes,"Yes, significantly early",I was eager to write the jamb because its my first time ,My advice is that they should make sure they read and also be prepared for the exam 
14,1,2021,250,Private,Urban,Male,15-17 years,3-4 hours,"Past questions, Online tutorials/videos",No,Yes,Often,Tertiary,Yes,3-5 dependents,Moderately Reliable,Most of them,Most days,Good,Yes,"Yes, a little early",Ability to fully concentrate without distractions from people ,Study hard 
15,1,2022,207,Private,Rural,Male,15-17 years,<1 hour,Past questions,No,No,Never,Tertiary,Yes,3-5 dependents,Very Reliable,"Yes, all",Daily,Very Poor,Yes,"Yes, significantly early",Didnt even study,Study hard and dont be late to your center
